Year,Delegates Level,,,,,,,Working Groups,,,,,,,,,,,,,,,,,,,,,,,Groups of Specialists,,,,,,,,,,,,,,,,,,,,Standing Scientific Groups,,,Standing Committees,,,,,Scientific Research Programs,,,,,,,,,,,,,
Year,Meeting location,President,VP1,VP2,VP3,VP4,Secretaries,Cartography,Exchange Info,Met & Physical Ocean,Program,Biology,Upper At Phys,Meteorol,Geology,Crustal Geophys,Oceanography,Comms,Nat Reports,Logistics,Geodesy & Cartog,Geomagnetism,Glaciology,Solid-Earth Geop,Human Biol Med,Geodesy & Geograp Info,Atmospheric Sci,Phys Chem Atmos,Solar-Terrestrial,Geoscience,Seals,Ice Shelf Drill,Late Cenoz,SO Ecosyst,EAMREA,AEIMEE,Ant Clim Res,Sea ice,Biomass exec,SO Ecology,Lithosphere,Cenozoic paleo,Env Affairs Conserv,GC and Antarctc,Neotect,Subglacial,Ant data,ADM,Reorg,JCADM,Geosciences,Life Sciences,Physical Sciences,Finance,Antarctic Treaty,Geographic Info,Data Managament,HASS,ACE,AGCS,EBA,ICESTAR,SALE,PAIS,SERCE,AAA,AntClim21,AntEco,Ant-ERA,AntClimNow,INSTANT,Ant_ICON
1968,Japan,USA,Argentina & USSR,,,,UK,,,,,UK & New Zealand,Japan,USA,UK,,USSR,,,Belgium,Australia,,USSR,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,,USA,USSR,,,,UK,,,,,New Zealand,Japan,USA,UK,,USSR,,,Belgium,Australia,,USSR,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,Norway,USA & UK,USSR,,,,UK & New Zealand,,,,,New Zealand,Japan,USA,UK,,USSR & UK,,,Belgium,Australia,,USSR,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1971,,UK,USSR,,,,New Zealand,,,,,New Zealand,Japan,USA,UK,,UK,,,Belgium,Australia,,USSR,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1972,Australia,UK,USSR & Japan,,,,New Zealand,,,,,New Zealand,Japan,USA,UK,,UK,,,Belgium & Australia,Australia,,USSR & UK,New Zealand,,,,,,,UK,USA,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,,UK,Japan,,,,New Zealand,,,,,New Zealand,Japan,USA,UK,,UK,,,Australia,Australia,,UK,New Zealand,,,,,,,UK,USA,South Africa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,United States,UK & Norway,Japan,,,,New Zealand,,,,,New Zealand & USA,Japan,USA,UK & Australia,,UK,,,Australia,Australia,,UK,New Zealand,France,,,,,,UK,USA,South Africa,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,,Norway,Japan,,,,New Zealand,,,,,USA,Japan,USA,Australia,,UK,,,Australia,Australia,,UK,New Zealand,France,,,,,,UK,USA,South Africa,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1976,Argentina,Norway,Japan & Chile,,,,New Zealand,,,,,USA,Japan,USA,Australia,,UK,,,Australia & New Zealand,Australia,,UK,New Zealand & USA,France,,,,,,UK,USA,South Africa,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,,Norway,Chile,,,,New Zealand,,,,,USA,Japan,USA,Australia,,UK,,,New Zealand,Australia,,UK,USA,France,,,,,,UK,USA,South Africa,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1978,France,Norway & New Zealand,Chile,,,,New Zealand & USSR,,,,,USA,Japan,USA,Australia & USA,,UK,,,New Zealand,Australia,,UK & USA,USA,France,,,,,,UK,USA,South Africa,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,,New Zealand,Chile & France,,,,USSR,,,,,USA,Japan,USA,USA,,UK,,,New Zealand,Australia,,USA,USA,France,,,,,,UK,,South Africa,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,New Zealand,New Zealand,France & Argentina,,,,USSR,,,,,USA & UK,Japan,USA,USA & Australia,,UK,,,New Zealand,Australia,,USA,USA,France,,,,,,UK,,South Africa,USA,USA,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,,New Zealand,Argentina,,,,USSR,,,,,UK,Japan,USA,Australia,,UK,,,New Zealand,Australia,,USA,USA,France,,,,,,UK,,,USA,,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1982,USSR,New Zealand & USA,Argentina,South Africa,,,USSR,,,,,UK,Japan,USA & USSR,Australia,,UK,,,New Zealand,Australia,,USA,USA & New Zealand,France,,,,,,UK,,,USA,,USA,USA & Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1983,,USA,Argentina,South Africa,,,USSR,,,,,UK,Japan,USSR,Australia,,,,,New Zealand,Australia,,USA,New Zealand,France,,,,,,UK,,,USA,,USA,Japan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1984,Germany,USA,Argentina & Germany,South Africa,,,USSR & France,,,,,UK,Japan & UK,USSR,Australia,,,,,New Zealand,Australia,,USA,New Zealand,France & Australia,,,,,,UK,,,USA,,USA,Japan,Australia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,,USA,Germany,South Africa,,,France,,,,,UK,UK,USSR,Australia,,,,,New Zealand,Australia,,USA,New Zealand,Australia,,,,,,UK,,,USA,,USA,Japan,Australia,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1986,United States,USA & France,Germany,South Africa &  USSR,,,France & Brazil,,,,,UK,UK,USSR,Australia,,,,,New Zealand & Australia,Australia,,USA & Norway,New Zealand,Australia,,,,,,UK,,,,,USA,Japan,Australia,USA,France,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1987,,France,Germany,USSR,,,Brazil,,,,,UK,UK,,Australia,,,,,Australia,Australia,,Norway,New Zealand,Australia,,,,,,UK,,,,,,Japan,Australia,USA,France,USA,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1988,Australia,France,Germany & Australia,USSR,,,Brazil,,,,,UK & Germany,UK,,Australia & UK,,,,,Australia,Australia,,Norway,New Zealand & Germany,Australia,Australia,UK,,,,UK & USA,,,,,,Japan & Australia,Australia,USA,France,USA,USA,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1989,,France,Australia,USSR,,,Brazil,,,,,Germany,UK,,UK,,,,,,,,Norway,Germany,Australia,Australia,UK,,,,USA,,,,,,Australia,Australia,USA,France,USA,USA,UK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,Brazil,France & UK,Australia,USSR & USA,Argentina,,Brazil,,,,,Germany & Chile,UK,,UK,,,,,,,,Norway,Germany & UK,Australia,Australia,UK,USA,USA,,USA,,,,,,Australia,Australia,USA,France & Germany,USA,USA,UK,,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,
1991,,UK,Australia,USA,Argentina,,Brazil,,,,,Chile,,,UK,,,,,,,,Norway,UK,Australia,Australia,,USA,USA,,USA,,,,,,,,USA,Germany,USA,USA,UK,,,,USA,,,,,,,,,,,,,,,,,,,,,,,,,
