,year,country,value
339,2019,new zealand,1.8471250173
340,2019,norway,3.4537671117
341,2019,peru,1.0
342,2019,poland,1.4325363417
343,2019,russian federation,0.3310453009
344,2019,south africa,0.4406391679
345,2019,spain,1.0
346,2019,sweden,0.7549737519
347,2019,united kingdom,8.5227008554
348,2019,united states,8.5473585855
349,2019,uruguay,1.3154845312
350,2021,argentina,10.3221970919
351,2021,australia,11.0813044547
352,2021,belgium,1.4622629959
353,2021,brazil,0.3082017436
354,2021,chile,4.5077883398
355,2021,china,1.3866998663
356,2021,finland,0.4622629959
357,2021,france,3.2680477054
358,2021,germany,1.4545406599
359,2021,india,2.0
360,2021,italy,1.4322480251
361,2021,korea (rok),0.3866998663
362,2021,netherlands,2.8655924387
363,2021,new zealand,10.5120766417
364,2021,norway,3.1967005005
365,2021,peru,0.3082017436
366,2021,romania,0.2563220973
367,2021,russian federation,1.6232493702
368,2021,south africa,0.4404047974
369,2021,spain,1.8390136257
370,2021,sweden,0.9026677933
371,2021,united kingdom,8.7680554291
372,2021,united states,7.2462036094
373,2021,uruguay,0.3082017436
374,2022,argentina,3.2746546147
375,2022,australia,4.4193869682
376,2022,belgium,1.3630158284
377,2022,chile,3.356256853
378,2022,finland,0.6357560057
379,2022,france,0.3630158284
380,2022,germany,1.0884935814
381,2022,italy,0.3444214762
382,2022,netherlands,2.0471289385
383,2022,new zealand,2.7685055706
384,2022,norway,2.7115173735
385,2022,russian federation,1.0
386,2022,south africa,0.7844092378
387,2022,spain,1.3732588994
388,2022,sweden,1.0760652388
389,2022,united kingdom,11.8020712984
390,2022,united states,8.5693657336
391,2023,argentina,4.1351944174
392,2023,australia,4.2993722559
393,2023,belgium,2.9454733912
394,2023,brazil,0.7074584918
395,2023,bulgaria,0.4803550502
396,2023,chile,3.3625995803
397,2023,china,1.5188044835
398,2023,czechia,0.8218833302
399,2023,ecuador,0.7074584918
400,2023,finland,1.861435512
401,2023,france,2.1753530882
402,2023,germany,2.8794146503
403,2023,india,1.4925947701
404,2023,italy,1.5847126599
