,year,country,value
728,2022,sri lanka,1
729,2022,sweden,34
730,2022,switzerland,39
731,2022,taiwan,7
732,2022,tanzania,1
733,2022,thailand,4
734,2022,turkey,21
735,2022,uganda,2
736,2022,ukraine,35
737,2022,united arab emirates,2
738,2022,united kingdom,277
739,2022,united states,422
740,2022,uruguay,7
741,2022,venezuela,2
742,2022,vietnam,1
743,2023,algeria,4
744,2023,argentina,66
745,2023,australia,148
746,2023,austria,17
747,2023,bahrain,1
748,2023,belarus,3
749,2023,belgium,52
750,2023,brazil,98
751,2023,bulgaria,10
752,2023,canada,63
753,2023,chile,98
754,2023,china,274
755,2023,colombia,5
756,2023,costa rica,2
757,2023,croatia,1
758,2023,czechia,29
759,2023,denmark,41
760,2023,ecuador,4
761,2023,egypt,1
762,2023,el salvador,2
763,2023,estonia,1
764,2023,finland,15
765,2023,france,102
766,2023,georgia,2
767,2023,germany,164
768,2023,ghana,1
769,2023,greece,1
770,2023,iceland,1
771,2023,india,57
772,2023,indonesia,2
773,2023,iran,2
774,2023,ireland,7
775,2023,israel,5
776,2023,italy,110
777,2023,japan,84
778,2023,lithuania,1
779,2023,luxembourg,1
780,2023,malaysia,10
781,2023,mexico,11
782,2023,monaco,2
783,2023,mongolia,2
784,2023,namibia,1
785,2023,nepal,1
786,2023,netherlands,55
787,2023,new zealand,84
788,2023,norway,64
789,2023,pakistan,2
790,2023,peru,6
791,2023,poland,36
792,2023,portugal,17
793,2023,republic of korea,72
794,2023,romania,2
795,2023,russia,67
796,2023,saudi arabia,4
797,2023,singapore,2
798,2023,slovakia,1
799,2023,slovenia,1
800,2023,south africa,40
801,2023,spain,73
802,2023,sweden,31
803,2023,switzerland,56
804,2023,taiwan,4
805,2023,thailand,3
806,2023,tonga,1
807,2023,tunisia,1
808,2023,turkey,28
809,2023,ukraine,26
810,2023,united arab emirates,8
811,2023,united kingdom,257
812,2023,united states,415
813,2023,uruguay,13
814,2024,albania,1
815,2024,algeria,1
816,2024,argentina,71
817,2024,armenia,1
818,2024,australia,155
819,2024,austria,19
820,2024,belarus,6
821,2024,belgium,49
822,2024,brazil,112
823,2024,brunei,1
824,2024,bulgaria,5
825,2024,canada,58
826,2024,chile,118
827,2024,china,287
828,2024,colombia,5
829,2024,costa rica,1
830,2024,cuba,1
831,2024,cyprus,2
832,2024,czechia,24
833,2024,denmark,25
834,2024,ecuador,7
835,2024,egypt,2
836,2024,el salvador,2
837,2024,ethiopia,1
838,2024,finland,24
839,2024,france,114
840,2024,germany,168
841,2024,greece,2
842,2024,hungary,3
843,2024,iceland,5
844,2024,india,53
845,2024,indonesia,1
846,2024,iran,5
847,2024,ireland,15
848,2024,israel,2
849,2024,italy,141
850,2024,japan,71
851,2024,lithuania,2
852,2024,luxembourg,1
853,2024,madagascar,1
854,2024,malaysia,22
855,2024,mexico,7
856,2024,monaco,4
857,2024,morocco,2
858,2024,netherlands,57
859,2024,new zealand,87
860,2024,nigeria,3
861,2024,norway,62
862,2024,peru,8
863,2024,poland,37
864,2024,portugal,29
865,2024,republic of korea,91
866,2024,romania,1
867,2024,russia,56
868,2024,saudi arabia,5
869,2024,singapore,2
870,2024,slovakia,2
871,2024,south africa,64
872,2024,spain,99
873,2024,sweden,26
874,2024,switzerland,53
875,2024,taiwan,4
876,2024,thailand,2
877,2024,turkey,20
878,2024,ukraine,19
879,2024,united arab emirates,5
880,2024,united kingdom,301
881,2024,united states,411
882,2024,uruguay,19
883,2024,venezuela,1
884,2024,vietnam,1
