Document_Number,Subject,Status,Category,Topics,Title,Content
802,Updated requirements for information exchange,Adopted 08/06/2023,Information exchange,Information exchange,"Decision 4 (2023) - ATCM XLV - CEP XXV, Helsinki","Updated requirements for information exchangeThe Representatives,Noting Articles III(1)(a) and VII(5) of the Antarctic Treaty;Conscious of the obligations within the Protocol on Environmental Protection to the Antarctic Treaty (“the Protocol”) and its Annexes to exchange information;Conscious also of decisions of the Antarctic Treaty Consultative Meeting (“ATCM”) in relation to the information to be exchanged by Parties;Desiring that the exchange of information by Parties be conducted in the most efficient and timely manner;Desiring also that the information to be exchanged by Parties be readily identified to maximise its utility;Recalling Decision 4 (2012), which decided that the Parties would use the Electronic Information Exchange System (“EIES”) to exchange information in accordance with the Antarctic Treaty and the Protocol and its Annexes and which specified that Parties would continue to work with the Secretariat of the Antarctic Treaty (“the Secretariat”) to refine and improve the EIES;Noting that Decision 4 (2012) decided that the Parties would update relevant sections of the EIES regularly throughout the year, in order that such information be made available and accessible to Parties as soon as practicable;Desiring to make changes to the consolidated list attached to this Decision, on sections 2.1.1. Forward Plans and 2.1.2. Science Activities in Previous Year (category Annual Report), and to add a new section 3.5 Cooperation Agreements (category Permanent Information);Decide:1. that the Annex to this Decision represents a consolidated list of the information to be exchanged by Parties;2. that the Secretariat shall modify the EIES to reflect the information contained in the Annex to this Decision; and3. that the Annex to Decision 5 (2022) is no longer current."
801,Renewal of the contract of the Secretariat's external auditor,Adopted 08/06/2023,Institutional & legal matters,Institutional & legal matters,"Decision 3 (2023) - ATCM XLV - CEP XXV, Helsinki","Renewal of the contract of the Secretariat's external auditorThe Representatives,Recalling the Financial Regulations for the Secretariat of the Antarctic Treaty annexed to Decision 4 (2003), and specifically Regulation 11 (External Audit);Conscious that the Secretariat of the Antarctic Treaty (“the Secretariat”) conducts the majority of its financial transactions in Argentina, and that the detailed rules of book-keeping and accounting are country-specific;Noting Argentina’s proposal to designate the Sindicatura General de la Nación (“SIGEN”) as the external auditor of the Secretariat;Decide:1. to designate the Sindicatura General de la Nación as the external auditor of the Secretariat for Financial Years 2021/22 to 2024/25, in accordance with Regulation 11.1 of the Financial Regulations for the Secretariat of the Antarctic Treaty; and2. to authorise the Executive Secretary to negotiate a contract with the Sindicatura General de la Nación to carry out annual external audits for the above-mentioned years in accordance with Regulation 11.3, the Annex to this Decision (which lists the tasks to be carried out) and the budgetary limits set by the Antarctic Treaty Consultative Meeting."
800,"Secretariat Report, Programme and Budget",Adopted 08/06/2023,Institutional & legal matters,Institutional & legal matters,"Decision 2 (2023) - ATCM XLV - CEP XXV, Helsinki","Secretariat Report, Programme and BudgetThe Representatives,Recalling Measure 1 (2003) on the establishment of the Secretariat of the Antarctic Treaty (“the Secretariat”);Bearing in mind the Financial Regulations for the Secretariat of the Antarctic Treaty annexed to Decision 4 (2003) and amended by Decision 6 (2005);Recalling Decision 4 (2009) concerning, amongst other matters, the Translation Contingency Fund;Noting increased translation expenses;Decide:1. to approve the audited Financial Report for 2021/22 annexed to this Decision (Annex 1);2. to take note of the Secretariat Report 2022/23, which includes the Provisional Financial Report for 2022/23, annexed to this Decision (Annex 2);3. to take note of the Five Year Forward Budget Profile 2024/25-2028/29 and approve the Secretariat Programme 2023/24, including the Budget for 2023/24 and the Forecast Budget 2024/25, annexed to this Decision (Annex 3);4. to increase the level of the Translation Contingency Fund to $50,000; and5. to request that the Executive Secretary of the Secretariat open at the Antarctic Treaty Consultative Meeting Forum a topic to report to the Consultative Parties on financial issues."
799,Revised Rules of Procedure for the Committee for Environmental Protection (2023),Adopted 08/06/2023,Institutional & legal matters,Institutional & legal matters,"Decision 1 (2023) - ATCM XLV - CEP XXV, Helsinki","Revised Rules of Procedure for the Committee for Environmental Protection (2023)The Representatives,Recalling Decision 2 (2011) which adopted Revised Rules of Procedure for the Committee for Environmental Protection (“the Revised Rules”);Recalling that Rule 15 of the Revised Rules provides that the Committee for Environmental Protection (“CEP”) shall elect a Chair and two Vice-chairs from among the Consultative Parties;Desiring to update the Revised Rules to include procedures for nominating and electing the Chair and Vice-chairs, and to clarify the serving terms for these positions;Decide that the Revised Rules of Procedure for the Committee for Environmental Protection (2023) annexed to this Decision shall replace the Revised Rules of Procedure for the Committee for Environmental Protection (2011) annexed to Decision 2 (2011)."
798,"Antarctic Specially Protected Area No 179 (Parts of Western Sør Rondane Mountains, Dronning Maud Land, East Antarctica): Management Plan",Effective 06/11/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 18 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 179 (Parts of Western Sør Rondane Mountains, Dronning Maud Land, East Antarctica): Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Noting that the Committee for Environmental Protection (“CEP”) has endorsed a Management Plan for ASPA 179;Recognising that this area supports outstanding environmental, scientific, historic, aesthetic or wilderness values, or ongoing or planned scientific research, and would benefit from special protection;Desiring to designate Parts of Western Sør Rondane Mountains, Dronning Maud Land, East Antarctica as ASPA 179, and to approve the Management Plan for this Area;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. Parts of Western Sør Rondane Mountains, Dronning Maud Land, East Antarctica, be designated as Antarctic Specially Protected Area No 179; and2. the Management Plan, which is annexed to this Measure, be approved."
797,"Antarctic Specially Protected Area No 172 (Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land): Revised Management Plan",Effective 06/11/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 17 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 172 (Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;Recalling Measure 9 (2012) which designated Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land as ASPA 172 and annexed a Management Plan for the Area;Recalling Measure 6 (2018), which adopted a revised Management Plan for ASPA 172;Noting that that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 172;Desiring to replace the existing Management Plan for ASPA 172 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 172 (Lower Taylor Glacier and Blood Falls, McMurdo Dry Valleys, Victoria Land), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 172 annexed to Measure 6 (2018) be revoked."
796,"Antarctic Specially Protected Area No 170 (Marion Nunataks, Charcot Island, Antarctic Peninsula): Revised Management Plan",Effective 06/11/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 16 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 170 (Marion Nunataks, Charcot Island, Antarctic Peninsula): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 4 (2008) which designated Marion Nunataks, Charcot Island, Antarctic Peninsula as ASPA 170 and adopted a Management Plan for the Area;Measures 16 (2013) and 5 (2018), which adopted revised Management Plans for ASPA 170;Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 170;Desiring to replace the existing Management Plan for ASPA 170 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 170 (Marion Nunataks, Charcot Island, Antarctic Peninsula), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 170 annexed to Measure 5 (2018) be revoked."
795,"Antarctic Specially Protected Area No 168 (Mount Harding, Grove Mountains, East Antarctica): Revised Management Plan",Effective 06/11/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 15 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 168 (Mount Harding, Grove Mountains, East Antarctica): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 2 (2008), which designated Mount Harding, Grove Mountains, East Antarctica as ASPA 168 and annexed a Management Plan for the Area;Measure 17 (2015), which adopted a revised Management Plan for ASPA 168;Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 168;Desiring to replace the existing Management Plan for ASPA 168 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 168 (Mount Harding, Grove Mountains, East Antarctica), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 168 annexed to Measure 17 (2015) be revoked."
794,"Antarctic Specially Protected Area No 165 (Edmonson Point, Wood Bay, Ross Sea): Revised Management Plan",Effective 06/09/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 14 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 165 (Edmonson Point, Wood Bay, Ross Sea): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 1 (2006), which designated Edmonson Point, Wood Bay, Ross Sea as ASPA 165 and annexed a Management Plan for the Area;Measures 8 (2011) and 7 (2017), which adopted revised Management Plans for ASPA 165;Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 165;Desiring to replace the existing Management Plan for ASPA 165 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 165 (Edmonson Point, Wood Bay, Ross Sea), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 165 annexed to Measure 7 (2017) be revoked."
793,"Antarctic Specially Protected Area No 156 (Lewis Bay, Mount Erebus, Ross Island): Revised Management Plan",Effective 06/11/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 13 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 156 (Lewis Bay, Mount Erebus, Ross Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingMeasure 2 (1997), which designated Lewis Bay, Mount Erebus, Ross Island as Specially Protected Area (“SPA”) No 26 and adopted a Management Plan for the Area;Decision 1 (2002), which renamed and renumbered SPA 26 as ASPA 156;Measures 2 (2003) and 13 (2013), which adopted revised Management Plans for ASPA 156;Recalling that the Committee for Environmental Protection (“CEP”) XI (2008) reviewed and continued without changes the Management Plan for ASPA 156, which is annexed to Measure 2 (2003);Recalling that Measure 2 (1997) has not become effective and was withdrawn by Measure 8 (2010);Recalling that the CEP XXI (2018) reviewed and continued without changes the Management Plan for ASPA 156, which is annexed to Measure 13 (2013);Noting that the CEP has endorsed a revised Management Plan for ASPA 156;Desiring to replace the existing Management Plan for ASPA 156 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 156 (Lewis Bay, Mount Erebus, Ross Island), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 156 annexed to Measure 13 (2013) be revoked.1."
792,"Antarctic Specially Protected Area No 149 (Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands): Revised Management Plan",Effective 06/09/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 12 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 149 (Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation IV-11 (1966), which designated Cape Shirreff, Livingston Island, South Shetland Islands as Specially Protected Area (“SPA”) No 11;Recommendation XV-7 (1989), which terminated SPA 11 and redesignated the Area as Site of Special Scientific Interest (“SSSI”) No 32 and annexed a Management Plan for the Site;Resolution 3 (1996) and Measure 2 (2000), which extended the expiry date of SSSI 32;Decision 1 (2002), which renamed and renumbered SSSI 32 as ASPA 149;Measures 2 (2005), 7 (2011), 7 (2016) and 16 (2022), which adopted revised Management Plans for ASPA 149;Recalling that Recommendation XV-7 (1989) and Measure 2 (2000) did not become effective, and that Measure 2 (2000) was withdrawn by Measure 5 (2009);Recalling that Recommendation XV-7 (1989) and Resolution 3 (1996) were designated as no longer current by Decision 1 (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 149;Desiring to replace the existing Management Plan for ASPA 149 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 149 (Cape Shirreff and San Telmo Island, Livingston Island, South Shetland Islands), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 149 annexed to Measure 16 (2022) be revoked."
791,"Antarctic Specially Protected Area No 147 (Ablation Valley and Ganymede Heights, Alexander Island): Revised Management Plan",Effective 06/11/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 11 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 147 (Ablation Valley and Ganymede Heights, Alexander Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XV-6 (1989), which designated Ablation Valley and Ganymede Heights, Alexander Island as Site of Special Scientific Interest (“SSSI”) No 29 and annexed a Management Plan for the Site;Resolution 3 (1996), which extended the expiry date for SSSI 29;Measure 2 (2000), which extended the expiry date for the Management Plan for SSSI 29;Decision 1 (2002), which renamed and renumbered SSSI 29 as ASPA 147;Measures 1 (2002), 10 (2013) and 4 (2018), which adopted revised Management Plans for ASPA 147;Recalling that Recommendation XV-6 (1989) and Resolution 3 (1996) were designated as no longer current by Decision 1 (2011);Recalling that Measure 2 (2000) did not become effective and was withdrawn by Measure 5 (2009);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 147;Desiring to replace the existing Management Plan for ASPA 147 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 147 (Ablation Valley and Ganymede Heights, Alexander Island), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 147 annexed to Measure 4 (2018) be revoked."
790,"Antarctic Specially Protected Area No 145 (Port Foster, Deception Island, South Shetland Islands): Revised Management Plan",Effective 06/11/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 10 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 145 (Port Foster, Deception Island, South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIV-5 (1987) which designated Port Foster, Deception Island as Site of Special Scientific Interest (“SSSI”) No 27 and annexed a Management Plan for the Site;Resolution 3 (1996) and Measure 2 (2000), which extended the date of expiry of the Management Plan for SSSI 27;Decision 1 (2002) which renamed and renumbered SSSI 27 as ASPA 145;Measure 3 (2005), which incorporated ASPA 145 into Antarctic Specially Managed Area No 4 (Deception Island) and adopted a revised Management Plan for ASPA 145;Recalling that Recommendation XIV-5 (1987) was designated as no longer current by Measure 13 (2014);Recalling that Resolution 3 (1996) was designated as no longer current by Decision 1 (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 145;Desiring to replace the existing Management Plan for ASPA 145 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 145 (Port Foster, Deception Island, South Shetland Islands), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 145 annexed to Measure 3 (2005) be revoked."
789,"Antarctic Specially Protected Area No 144 (Chile Bay (Discovery Bay), Greenwich Islands, South Shetland Islands): Revoked Management Plan",Effective 06/11/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 9 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 144 (Chile Bay (Discovery Bay), Greenwich Islands, South Shetland Islands): Revoked Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIV-5 (1987), which designated Chile Bay (Discovery Bay), Greenwich Islands, South Shetland Islands as Site of Special Scientific Interest (“SSSI”) No 26, and annexed a Management Plan for the Site;Resolution 3 (1996) and Measure 2 (2000), which extended the date of expiry of SSSI 26;Decision 4 (1998), which listed SSSI 26 as a SSSI with marine areas of interest to the Commission for the Conservation of Antarctic Marine Living Resources;Decision 1 (2002), which renamed and renumbered SSSI 26 as ASPA 144;Measure 4 (2005), which extended the date of expiry of the Management Plan for ASPA 144;Recalling that Recommendation XIV-5 (1987) was designated as no longer current by Measure 13 (2014);Recalling that Resolution 3 (1996) was designated as no longer current by Decision 1 (2011) and that Measure 2 (2000) did not become effective and was withdrawn by Measure 5 (2009);Recalling that Decision 4 (1998) was designated as no longer current by Decision 9 (2005);Noting that the Committee for Environmental Protection has reviewed the appropriateness of additional protection afforded by ASPA status for Chile Bay (Discovery Bay);Desiring to update the status of ASPA 144;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the Management Plan for Antarctic Specially Protected Area No 144 annexed to Recommendation XIV-5 (1987) be revoked; and2. Antarctic Specially Protected Area No 144 shall not be used as a future designation."
788,"Antarctic Specially Protected Area No 138 (Linnaeus Terrace, Asgard Range, Victoria Land): Revised Management Plan",Effective 06/11/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 8 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 138 (Linnaeus Terrace, Asgard Range, Victoria Land): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIII-8 (1985), which designated Linnaeus Terrace, Asgard Range, Victoria Land as Site of Special Scientific Interest (“SSSI”) No 19 and annexed a Management Plan for the Site;Resolution 7 (1995), which extended the expiry date of SSSI;Measure 1 (1996), which annexed a revised Management Plan for SSSI 19;Decision 1 (2002), which renamed and renumbered SSSI 19 as Antarctic Specially Protected Area No 138;Measures 10 (2008) and 8 (2013), which adopted revised Management Plans for ASPA 138;Recalling that Resolution 7 (1995) was designated as no longer current by Decision 1 (2011);Recalling that Measure 1 (1996) has not become effective and was withdrawn by Measure 10 (2008);Recalling that the Committee for Environmental Protection (“CEP”) XXI (2018) reviewed and continued without changes the Management Plan for ASPA 138, which is annexed to Measure 8 (2013);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 138;Desiring to replace the existing Management Plan for ASPA 138 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 138 (Linnaeus Terrace, Asgard Range, Victoria Land), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 138 annexed to Measure 8 (2013) be revoked."
787,"Antarctic Specially Protected Area No 137 (Northwest White Island, McMurdo Sound): Revised Management Plan",Effective 06/09/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 7 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 137 (Northwest White Island, McMurdo Sound): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIII-8 (1985), which designated Northwest White Island, McMurdo Sound as Site of Special Scientific Interest (“SSSI”) No 18 and annexed a Management Plan for the Site;Recommendation XVI-7 (1991) and Measure 3 (2001), which extended the expiry date of SSSI 18;Decision 1 (2002), which renamed and renumbered SSSI 18 as ASPA 137;Measures 1 (2002), 9 (2008) and 7 (2013), which adopted revised Management Plans for ASPA 137;Recalling that Measure 3 (2001) did not become effective and was withdrawn by Measure 4 (2011);Recalling that Recommendation XVI-7 (1991) did not become effective and was designated as no longer current by Decision 1 (2011);Recalling that the Committee for Environmental Protection (“CEP”) XXI (2018) reviewed and continued without changes the Management Plan for ASPA 137, which is annexed to Measure 7 (2013);Noting that the CEP has endorsed a revised Management Plan for ASPA 137;Desiring to replace the existing Management Plan for ASPA 137 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 137 (Northwest White Island, McMurdo Sound), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 137 annexed to Measure 7 (2013) be revoked."
786,"Antarctic Specially Protected Area No 132 (Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands): Revised Management Plan",Effective 06/11/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 6 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 132 (Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation XIII-8 (1985), which designated Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands as Site of Special Scientific Interest (“SSSI”) No 13 and annexed a Management Plan for the Site;Measure 3 (1997), which annexed a revised Management Plan for SSSI 13;Decision 1 (2002), which renamed and renumbered SSSI 13 as ASPA 132;Measures 2 (2005), 4 (2013) and 3 (2018), which adopted revised Management Plans for ASPA 132;Recalling that Measure 3 (1997) has not become effective and was withdrawn by Measure 6 (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 132;Desiring to replace the existing Management Plan for ASPA 132 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 132 (Potter Peninsula, King George Island (Isla 25 de Mayo), South Shetland Islands), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 132 annexed to Measure 3 (2018) be revoked."
785,"Antarctic Specially Protected Area No 123 (Barwick and Balham Valleys, Southern Victoria Land): Revised Management Plan",Effective 06/11/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 5 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 123 (Barwick and Balham Valleys, Southern Victoria Land): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation VIII-4 (1975), which designated Barwick Valley, Victoria Land as Site of Special Scientific Interest (“SSSI”) No 3 and annexed a Management Plan for the Site;Recommendations X-6 (1979), XII-5 (1983), XIII-7 (1985), Resolution 7 (1995) and Measure 2 (2000), which extended the expiry date of SSSI 3;Decision 1 (2002), which renamed and renumbered SSSI 3 as ASPA 123;Measures 1 (2002), 6 (2008), 3 (2013) and 1 (2019), which adopted revised Management Plans for ASPA 123;Recalling that Recommendations VIII-4 (1975), X-6 (1979), XII-5 (1983), XIII-7 (1985) and Resolution 7 (1995) were designated as no longer current by Decision 1 (2011);Recalling that Measure 2 (2000) did not become effective and was withdrawn by Measure 5 (2009);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 123;Desiring to replace the existing Management Plan for ASPA 123 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 123 (Barwick and Balham Valleys, South Victoria Land), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 123 annexed to Measure 1 (2019) be revoked."
784,"Antarctic Specially Protected Area No 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management Plan",Effective 06/11/2023 (Fast Approval),Area protection and management,Area protection and management,"Measure 4 (2023) - ATCM XLV - CEP XXV, Helsinki","Antarctic Specially Protected Area No 122 (Arrival Heights, Hut Point Peninsula, Ross Island): Revised Management PlanThe Representatives,Recalling Articles 3, 5 and 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty providing for the designation of Antarctic Specially Protected Areas (“ASPA”) and approval of Management Plans for those Areas;RecallingRecommendation VIII-4 (1975), which designated Arrival Heights, Hut Point Peninsula, Ross Island as Site of Special Scientific Interest (“SSSI”) No 2 and annexed a Management Plan for the Site;Recommendations X-6 (1979), XII-5 (1983), XIII-7 (1985), XIV-4 (1987), Resolution 3 (1996) and Measure 2 (2000), which extended the expiry date of SSSI 2;Decision 1 (2002), which renamed and renumbered SSSI 2 as ASPA 122;Measures 2 (2004), 3 (2011), 3 (2016) and 8 (2022), which adopted revised Management Plans for ASPA 122;Recalling that Measure 2 (2000) was withdrawn by Measure 5 (2009);Recalling that Recommendations VIII-4 (1975), X-6 (1979), XII-5 (1983), XIII-7 (1985), XIV-4 (1987) and Resolution 3 (1996) were designated as no longer current by Decision 1 (2011);Noting that the Committee for Environmental Protection has endorsed a revised Management Plan for ASPA 122;Desiring to replace the existing Management Plan for ASPA 122 with the revised Management Plan;Recommend to their Governments the following Measure for approval in accordance with paragraph 1 of Article 6 of Annex V to the Protocol on Environmental Protection to the Antarctic Treaty:That:1. the revised Management Plan for Antarctic Specially Protected Area No 122 (Arrival Heights, Hut Point Peninsula, Ross Island), which is annexed to this Measure, be approved; and2. the Management Plan for Antarctic Specially Protected Area No 122 annexed to Measure 8 (2022) be revoked."
